Source,Core_Anno_AP,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_BERT_AP,Answer_Anno_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_BERT_AP,Gramm_Anno_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_BERT_AP,Interp_Anno_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_BERT_AP,Verif_Anno_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_BERT_AP
I09U-gNSC-vs_r1-Tr-N50-VS-N70,0.7331872184610522,0.6912561259988761,0.6857766344606033,0.6834221039791668,0.6543576148056099,0.9271862480953391,0.9029259102925868,0.9110063446430045,0.9301101152197088,0.9052233266283983,0.720465337132004,0.6881476027521879,0.6870562821825,0.6801921733549541,0.6885760686029527,0.7718940236876591,0.7753790183745201,0.7688371978531519,0.7687258974486104,0.7398805232213075,0.7635484450190331,0.7627131357301333,0.7562927137820438,0.7504113363429962,0.7043681352034804
I09U-gNSC-vs_r2-Tr-N50-VS-N70,0.7331872184610522,0.6939481618731694,0.6870585599115402,0.6749152536506285,0.6574168327164511,0.9271862480953391,0.9021502970169735,0.9105053024752956,0.9300565492570518,0.9081794554854499,0.720465337132004,0.6698646611406973,0.683466521931875,0.6825882097422185,0.6927217494079726,0.7718940236876591,0.7740671755345717,0.7697743699913691,0.7612609484392265,0.7409447708458006,0.7635484450190331,0.7583635558269797,0.759605707977391,0.7461544820861419,0.705499192865556
I10T-gNSC-vs_r1-In-N50-VS-N70,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9142857142857143,0.8770647321428572,0.8728980654761905,0.8831721230158731,0.880525901483782,0.9366737739872067,0.923833214877991,0.9215944089078417,0.9315376580301953,0.9146991086640663,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9485994397759103,0.9346656611362492,0.9324597787833081,0.9422568036538623,0.9298661589901998
I10T-gNSC-vs_r2-In-N50-VS-N70,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9142857142857143,0.8779261103479854,0.8716017055860806,0.884734623015873,0.8705279105826159,0.9366737739872067,0.921919705501795,0.919965192353252,0.9397466132540759,0.9123049012116262,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9485994397759103,0.9346313816902051,0.932705611382082,0.95034503894798,0.9298574522275558
I10U-gNSC-vs_r1-In-N50-VS-N70,0.8903846153846153,0.8312359276130913,0.8312359276130913,0.8426094432340985,0.8281393245861182,0.9735507246376811,0.9468472399327925,0.9468472399327925,0.9469530874330951,0.9455208290542829,0.924062049062049,0.9080883212618488,0.9070199451934727,0.9155764636173873,0.879631040916999,0.9235252309879176,0.8995281408521617,0.8995281408521617,0.9317836853866284,0.88593037945911,0.9221926083866382,0.9199080289097217,0.9199080289097217,0.9279242324669423,0.8884179416481648
I10U-gNSC-vs_r2-In-N50-VS-N70,0.8903846153846153,0.8296001131652151,0.8298748384399404,0.8374801491815117,0.8225418235884653,0.9735507246376811,0.9468519024511247,0.9469381688417389,0.9470005157993233,0.945611796823483,0.924062049062049,0.9068774125404212,0.9069676001306087,0.9247879080066974,0.8784994712090075,0.9235252309879176,0.9082727046762715,0.9083615461830234,0.9341133580445335,0.8886160725835208,0.9221926083866382,0.9214794943634588,0.9215683358702107,0.9311067835896665,0.8911036347725755
I11T-gNSC-vs_r1-Di-N50-VS-N70,0.7942752968580854,0.7950367999418262,0.7981190138146221,0.8031333248159448,0.7848755748731531,0.8678346579016222,0.8430728085459653,0.841334778885727,0.8364050003763535,0.8572733232715293,0.7546438410074773,0.6713243667703905,0.6721322576452307,0.6701458158708065,0.6803326455371818,0.40237194905724044,0.7364944812985481,0.7131343846967232,0.7762321316377485,0.7562033339139365,0.8327454072782146,0.8353118020336099,0.8377121944546994,0.8371765443222833,0.8302116336652287
I11T-gNSC-vs_r2-Di-N50-VS-N70,0.7942752968580854,0.8112872937511816,0.8189423275130792,0.8129824041180101,0.7850898847067888,0.8678346579016222,0.8298906939289172,0.8299809584928739,0.8263635978442629,0.8499971354493329,0.7546438410074773,0.676741601101454,0.6824555580942496,0.6802185447973279,0.6802132667106231,0.40237194905724044,0.7333628357021112,0.7132340022801927,0.7557955883666395,0.6939676027162796,0.8327454072782146,0.8166170115359874,0.8173520527118188,0.8273911130743613,0.8308794601715699
I11U-gNSC-vs_r1-Di-N50-VS-N70,0.9541719753676277,0.9446182328423245,0.9445732230923898,0.9445875387312987,0.9444868277429751,0.9083028083028082,0.8852258075352089,0.8921567494672948,0.893770876921867,0.8959060046234737,0.7386041842772613,0.6821610545347362,0.6861890335990002,0.6978878245825578,0.7305462088781751,0.7483151735270379,0.8931770690717273,0.8699037265313452,0.8855887562312735,0.8425518611446297,0.87509435009435,0.9034030210241255,0.8970344785848188,0.8752199170831456,0.8709380923287723
I11U-gNSC-vs_r2-Di-N50-VS-N70,0.9541719753676277,0.9445986304842726,0.9445724629837755,0.9446001294688434,0.9444856320100721,0.9083028083028082,0.8869558012191125,0.886663839973894,0.893950584447233,0.8964380485424357,0.7386041842772613,0.6782346044385417,0.6687467043421267,0.7020188512022759,0.7273548049367818,0.7483151735270379,0.8996506878529857,0.8861378758226174,0.8824659258424948,0.8185194294639313,0.87509435009435,0.8981490521445596,0.892249456711802,0.873679548081978,0.8731599451538599
I12T-gNSC-vs_r1-Tr-N50-VS-N70,0.7932470472368605,0.7968724988721463,0.7940037403488492,0.7689438864994491,0.7565897962099208,0.8522070825349515,0.819157939010434,0.8255535151880729,0.8318656437185497,0.8260681228698269,0.8873657751416665,0.8615314445295135,0.864682954775785,0.8257873307065994,0.8234504290686149,0.755625195500307,0.7257599454926081,0.7238002706909941,0.6932834827387659,0.6916011276705372,0.8225399356978305,0.773376811301622,0.7740006529573895,0.7725282577844367,0.7638911757862831
I12T-gNSC-vs_r2-Tr-N50-VS-N70,0.7932470472368605,0.8085281446256201,0.7857364616133258,0.7681390173690508,0.7584694608770783,0.8522070825349515,0.811888537733648,0.812236744272238,0.829993989247448,0.8427168688729841,0.8873657751416665,0.8522172645268355,0.8586631312149926,0.8248318064882679,0.8491564997508461,0.755625195500307,0.7359792212481969,0.7172205172710852,0.6907585295824339,0.7059201788505973,0.8225399356978305,0.7720405510851954,0.7746255663558034,0.7700844757531483,0.7653266257331851
I12U-gNSC-vs_r1-Tr-N50-VS-N70,0.8166186859735246,0.7375512718895307,0.7383913396919787,0.7674663248262421,0.7302285408040541,0.9442928754495918,0.9315651712644322,0.9511244496751314,0.9849008938109808,0.9577261294185865,0.8330111145684918,0.8221988979010362,0.8370360482905108,0.8267446525393799,0.8076540435328668,0.8660122996661458,0.856531475404289,0.8556325217940577,0.8641122397197819,0.8409491895074195,0.8201051636535507,0.7649742458622526,0.7656117884588134,0.761056793668259,0.7461951320378377
I12U-gNSC-vs_r2-Tr-N50-VS-N70,0.8166186859735246,0.7351121437355994,0.7353809090855857,0.7643504198736648,0.7303534076269417,0.9442928754495918,0.936120398943618,0.9604671791438764,0.9838347957299572,0.9555284487954079,0.8330111145684918,0.8314875160751976,0.8504957663624833,0.8241207403961163,0.8045058119331079,0.8660122996661458,0.8522433670464611,0.855059511975679,0.8618429560519093,0.8397024391318106,0.8201051636535507,0.761422810334558,0.7606381664959826,0.7587494133357512,0.745992253167113
I13T-gNSC-vs_r1-In-N50-VS-N70,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.9999999999999999,0.9428571428571428,0.9177868914711019,0.9177868914711019,0.9117768595041321,0.8745723313698895,0.9790890269151139,0.9861519741382441,0.9861519741382441,0.981325679151766,0.9729052460839527,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.9999999999999999,0.9718426501035198,0.97496322327558,0.97496322327558,0.9661082878474183,0.9498203599555883
