RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,years Eng,Eng residence,1stOr2ndResponse,What is happening?
5178120118,yes,NSv2pt2,Yes,,,USA,36,male,,,1,0
5178120118,yes,NSv2pt2,Yes,,,USA,36,male,,,2,0
5178117070,yes,NSv2pt2,Yes,,,USA,21,female,,,1,0
5178117070,yes,NSv2pt2,Yes,,,USA,21,female,,,2,0
5178114624,yes,NSv2pt2,Yes,,,USA ,46,female,,,1,0
5178114624,yes,NSv2pt2,Yes,,,USA ,46,female,,,2,0
5178114460,yes,NSv2pt2,Yes,,Spanish,USA,35,female,,USA 35 years,1,0
5178114460,yes,NSv2pt2,Yes,,Spanish,USA,35,female,,USA 35 years,2,0
5178108329,yes,NSv2pt2,Yes,,,USA,69,female,,None,1,0
5178108329,yes,NSv2pt2,Yes,,,USA,69,female,,None,2,0
5178106425,yes,NSv2pt2,Yes,,,USA,45,female,,USA 45 years,1,0
5178106425,yes,NSv2pt2,Yes,,,USA,45,female,,USA 45 years,2,0
5178105633,yes,NSv2pt2,Yes,,Italian,USA,49,male,,USA 47 years,1,0
5178105633,yes,NSv2pt2,Yes,,Italian,USA,49,male,,USA 47 years,2,0
5178103951,yes,NSv2pt2,Yes,,,USA,49,male,,"USA 45, UK (England) 4",1,0
5178103951,yes,NSv2pt2,Yes,,,USA,49,male,,"USA 45, UK (England) 4",2,0
5178101495,yes,NSv2pt2,Yes,,german,USA,33,female,,"USA 32 years, scottland 1 year",1,0
5178101495,yes,NSv2pt2,Yes,,german,USA,33,female,,"USA 32 years, scottland 1 year",2,0
5178100310,yes,NSv2pt2,Yes,,,USA,55,female,,,1,0
5178100310,yes,NSv2pt2,Yes,,,USA,55,female,,,2,0
5178100040,yes,NSv2pt2,Yes,,,USA,44,female,,USA,1,0
5178100040,yes,NSv2pt2,Yes,,,USA,44,female,,USA,2,0
5178099846,yes,NSv2pt2,Yes,,,USA,63,female,,USA 63 years,1,0
5178099846,yes,NSv2pt2,Yes,,,USA,63,female,,USA 63 years,2,0
5178099182,yes,NSv2pt2,Yes,,French,Haiti,49,female,,USA,1,0
